,Imóvel,Preço,Quartos,Área,Casas de banhos
31,Loja Maia Centro,Venda 19.500 €,2 ,13 m2 ,- 
32,Loja Águas Santas,Venda 26.000 €,2 ,39 m2 ,- 
33,Loja / Escritório no Telheiro - S. Mamede Infesta,Venda 28.000 €,2 ,30 m2 ,- 
34,Loja Valongo,Venda 28.000 €,3 ,63 m2 ,- 
35,Loja Valongo,Venda 29.000 €,2 ,52 m2 ,- 
36,Loja Valongo,Venda 29.000 €,0 ,63 m2 ,- 
37,Loja ou escritório proximo Aeroporto,Venda 30.000 €,2 ,35 m2 ,- 
38,Parqueamento Aldoar,Venda 32.000 €,5 ,13 m2 ,- 
39,Loja/Escritório em S. Mamede,Venda 33.000 €,3 ,39 m2 ,- 
40,Loja Valongo,Venda 34.000 €,2 ,73 m2 ,- 
41,Venda Quinta/Herdade T1,Venda 35.000 €,2 ,4.000 m2 ,- 
42,Escritório Matosinhos Centro,Venda 35.000 €,3 ,25 m2 ,- 
43,Loja Valongo,Venda 36.000 €,2 ,78 m2 ,- 
44,Loja Póvoa de Varzim próximo ao centro,Venda 37.000 €,2 ,59 m2 ,- 
45,Loja com dois pisos Bonfim,Venda 40.000 €,0 ,149 m2 ,- 
46,Loja Valongo,Venda 41.400 €,2 ,57 m2 ,- 
47,"Terreno Sobrado, Valongo",Venda 42.000 €,2 ,6.100 m2 ,- 
48,Escritório junto ao Aeroporto,Venda 43.000 €,3 ,85 m2 ,- 
49,Venda Terreno,Venda 45.000 €,2 ,462 m2 ,- 
50,Restaurante totalmente equipado em centro comercial,Venda 45.000 €,1 ,75 m2 ,- 
51,Loja Porto,Venda 46.000 €,0 ,33 m2 ,- 
52,Loja em Moreira da Maia,Venda 47.000 €,0 ,59 m2 ,- 
53,Loja Valongo,Venda 47.200 €,0 ,66 m2 ,- 
54,Conjunto de duas lojas Lordelo do Ouro,Venda 47.200 €,0 ,70 m2 ,- 
55,Escritório Matosinhos Centro,Venda 47.250 €,1 ,40 m2 ,- 
56,Loja com lugares de garagem,Venda 47.400 €,3 ,124 m2 ,- 
